name,name_en,gov,adm_level,place_type,lat,lon
Sirsina,,,,village,29.399172,30.9652923
أطسا,Itsa,,,town,29.2405098,30.8002018
البرمكي,Al-Baramky,,,village,29.2734714,30.8131933
دسية,Desya,,,village,29.2947291,30.7677101
عتامنة المزارعه,Atamet Al-Mozaraa,,,village,29.2785624,30.733036
قلمشاة,Qalamshah,,,village,29.1618516,30.8420394
الغرق,Al-Gharaq,,,town,29.1357683,30.6930389
منيا القمح,Minya Al-Qamh,,,town,30.5119266,31.3465379
بئر قطية,Qatia Well,,,village,30.9542879,32.7457497
بئر العبد,Bir al Abd,,,town,31.018138,33.0116944
الواحات الخارجة,Al Kharja Oases,,,city,25.4522583,30.5416007
موط,Mut,,,town,25.4894682,28.9865889
باريس,Baris,,,town,24.673692,30.605118
الباويطى,Bawiti,,,town,28.35182,28.862992
اللواء صبيح,Al-Lewa Sobeih,,,village,27.0634149,27.8761115
أبو منقار,Abu Minqar,,,town,26.506222,27.662008
مدينتي,Madinaty,,,city,30.0916925,31.6238026
كيت كات,Kit Kat,,,suburb,30.0729087,31.2138138
بورفؤاد,Port Fuad,,,town,31.246623,32.320071
ميت عقبة,Meet Oqba,,,suburb,30.060336,31.1939999
بين السرايات,Been Al-Sarayat,,,suburb,30.0321499,31.2018679
عين الصيرة,Ain El Sira,,,suburb,30.0139077,31.2450787
عباسية,Abbasseya,,,suburb,30.0712082,31.2763653
السكاكينى,El Sakakini,,,suburb,30.0634925,31.2677107
الدمرداش,El-Demerdash,,,suburb,30.0801775,31.2805525
الشرابية,El-Sharrabeya,,,suburb,30.079173,31.2639339
مسطرد,Musturud,,,suburb,30.1308831,31.2948719
بهتيم,Bahteem,,,suburb,30.1389642,31.2655197
الحلمية,Al-Helmeya,,,suburb,30.1125623,31.3342801
حدائق الزيتون,Hadayeq Al-Zaitoun,,,suburb,30.1137865,31.3334645
الزيتون,Al-Zaitoun,,,suburb,30.0998365,31.3082194
عين شمس,Ain Shams,,,suburb,30.1304761,31.3167491
الموسكى,Al-Mosky,,,suburb,30.0503528,31.253695
الأزبكية,Al-Azbakeya,,,suburb,30.0538891,31.2454725
الجمالية,El-Gamaliyya,,,suburb,30.0518089,31.2648529
باب الشعرية,Bab Al-Shaaria,,,suburb,30.0584951,31.2552829
الحلمية القديمة,El-Darb El-Ahmar,,,suburb,30.0421731,31.2620473
المنزلة,Al Manzala,,,town,31.1594009,31.9364533
المعمورة الشاطىء,El Maamoura El Shati,,,suburb,31.2881187,30.0327724
الخليفة,El-Khaleefa,,,suburb,30.0113183,31.2647255
Hamata,,,,hamlet,24.2856158,35.3767113
شرم الشيخ,Sharm El Sheikh,,,city,27.8644422,34.295447
هضبة,Hadaba,,,suburb,27.8517577,34.3046262
مشربة,Mashraba,,,suburb,28.4916646,34.5146204
Masbat,,,,suburb,28.4974845,34.5160736
Ezbet el Gaga,,,,village,24.7979027,30.5890137
Ezbet el Maks el Qibli,,,,village,24.5559708,30.6087547
Ezbet el Maks el Bahari,,,,village,24.5885989,30.5909019
خليج القرش,Shark's Bay,,,suburb,27.9511526,34.3811647
دمياط الجديدة,New Damietta,,,city,31.4364503,31.678142
حي الأشجار,Al-Ashgar Suburb,,,suburb,29.9542049,31.0678606
أبو تمر,Abu Tamr,,,village,31.1826669,27.5201325
سيدي كرير,Sidi Krier,,,village,31.0162538,29.6354183
قباء,Qebaa,,,hamlet,30.14001,31.3856254
سندوب,Sandub,,,village,31.0166782,31.3875202
طلخا,Talkha,,,town,31.0522251,31.3731608
ديرب نجم,Diarb Negm,,,suburb,30.7514077,31.4585432
ههيا,Hihya,,,suburb,30.6702546,31.5889562
شوابك بصطا,Shawabak Bastah,,,suburb,30.5768758,31.5385374
طاهرة,Tahirah,,,suburb,30.5756935,31.5579351
بني امير,Bani Amir,,,suburb,30.5925404,31.5673765
بلبيس,Bilbeis,,,town,30.418758,31.56463
ميت حمل,Mit Hamal,,,village,30.430156,31.5378508
مدينة ميراج,Mirage City,,,village,30.0716564,31.4353683
القلمون,Al Qalamun,,,village,25.5523231,28.9082827
بلاط,Balat,,,town,25.5615048,29.262811
تنيدة,Tanaydah,,,village,25.5135673,29.3426415
رأس بناس,Banas Cape,,,village,23.9807743,35.415651
رأس أبو سومة,Ras Abu Soma,,,village,26.8541015,33.994442
أبو طويلة,Abu Toweela,,,village,31.208889,34.152222
بلقينة,Bulqinah,,,village,30.948889,31.134167
محلة أبو علي القنطرة,Mehallet Abu Ali,,,village,30.966667,31.2
المعصرة,Al Masara,,,village,31.223889,31.313333
بلقاس,Bilqas,,,village,31.213056,31.3575
السماحية الكبرى,Al Samahiya al Kubra,,,village,31.239722,31.376944
برج البرلس,Borj Al Burullous,,,town,31.582728,30.9774388
خنوف البحري,Khannuf al Bahari,,,village,31.583333,31.033333
عزبة الفوايد البحرية,Ezbet al Fawayid al Bahariya,,,village,31.4318317,31.3254366
زاوية عبد المنعم,Zawiyat Abd al Munim,,,village,31.083333,28.433333
الضبعة,Ad Daba‘a,,,town,31.028943,28.4443762
العلمين,El Alamein,,,city,30.833944,28.949268
عزبة محمد فريد,Izbat Muhammad Farid,,,village,30.8556741,29.6398622
دوار حسن,Dauwar Hasan,,,village,30.8351939,29.5176111
الشيخ زويد,Ash Sheikh Zuwayyed,,,town,31.2127686,34.1107742
أبو عويقيلة أبو عجيلة,Abu Uwayqilah,,,village,30.841111,34.1225
الحسنة,El Hassana,,,town,30.465278,33.781667
بئر المالحة,Bir al Malha,,,hamlet,29.4182337,33.4839798
أبو رديس,Abu Rudays,,,town,28.9036109,33.1875
سوادة,Sawadah,,,village,28.079167,30.7875
طهنشا,Tahnasha,,,village,28.0302423,30.7504738
المنيا,Al Minya,,,city,28.0893325,30.7570623
كفر الفيالة,Kafr al Fayala,,,village,27.943945,30.7181218
تلة,Tallah,,,village,28.079364,30.7262488
بلة المستجدة,Billah al Mustajiddah,,,village,28.4757059,30.6699672
نزلة مصير,Nazlet Museir,,,village,28.4867957,30.6653323
جفدن,Gafadun,,,village,28.8279815,30.8033889
البرقي,Al Barqi,,,village,28.7667554,30.8359186
منشأة فيصل,Minshat Feisal,,,village,29.216667,30.7
عزبة سعداوي,Ezbet Sidawi,,,village,29.1842425,30.6837375
عزبة محمود ديهوم,Izbat Mahmud Dayhum,,,village,29.2157357,30.6539173
منية الحيط,Minyat al Hayt,,,village,29.2231492,30.7447546
نوارة,Nawwarah,,,village,29.236944,30.709167
عزبة بولاد,Ezbet Bulad,,,hamlet,29.25,30.716667
عزبة العشيري,Izbat al Ashiri,,,village,29.2372325,30.6434638
عزبة كريم,Ezbet Kuraiyim,,,village,29.2518435,30.627126
الحسينية,Al Huseiniya,,,village,29.2409582,30.6646934
عزبة الونائسة,Al Wanaysa,,,village,29.2572878,30.6544115
أبو جندير,Abu Gandir,,,village,29.2400199,30.6807482
عزبة الوابور المستجدة,Izbat al Wabur al Mustajiddah,,,village,29.1785903,30.7433975
أبهيت الحجر,Abhit al Hagar,,,village,29.421375,30.8428057
عزبة عبد النبي حسين,Izbat Abd an Nabi Husayn,,,village,29.3466181,30.8864954
بيهمو,Biyahmu,,,village,29.368056,30.851667
فيديمين,Fidimin,,,town,29.3811456,30.7784327
عزبة القصر,Izbat al Qasr,,,village,29.4986367,30.9066532
عزبة محمد عبادة البحرية,Ezbet Muhammad Abada al Bahariya,,,village,29.5129679,30.93187
عزبة حنا نخلة,Izbat Hanna Nakhlah,,,village,29.5111505,30.9467673
تامية,Tamiya,,,village,29.480178,30.963532
الروضه,Al Roda,,,village,29.443889,30.996667
خلاء محمد,Khala Muhammad,,,village,29.5009881,30.8646234
سنهور,Sanhur,,,town,29.4100107,30.7614382
قسطل,Qustul,,,village,22.2520936,31.6046907
أبو سمبل,Abu Simbel,,,village,22.366667,31.633333
سبوة,Sebua,,,village,22.75,32.566667
نجع الغلالاب,Nag Al-Ghalalab,,,village,24.133333,32.8833331
أسوان,Syena,,,village,24.0875,32.898889
أدندان,Adindan,,,village,24.3956852,32.9756769
الرغامة,Al Raghamah,,,village,24.5478421,32.9136222
